quiz_id,question_id,question,choce_1,choce_2,choce_3,choce_4,judge
1,1,亘の好きな食べ物は？,ラーメン,寿司,カツオ,プリン,１１００
1,2,亘の嫌いな食べ物は？,カツオ,プリン,カリフラワー,大根,００１０
1,3,亘の身長は？,169,170,171,172,００１０
2,1,地引の居住地は？,神栖,筑波,大洗,取手,０００１
3,1,「く」から始まる幸せな顔をした動物は？,クシナダ,クオッカ,クジラ,バナナ,０１００
3,2,オランウータンの握力は何キロ？,100,150,200,250,００１０
3,3,コアラの1日の睡眠時間は？,3,8,11,22,０００１
3,4,犬猫牛には人間でいう指紋の様なものがあります。それは何でしょうか？,耳,足,歯,鼻,０００１
4,1,日本シリーズ2023で優勝したチームは?,楽天,ヤクルト,阪神,オリックス,００１０
4,2,2023ドラフト会議でヤクルトが1位指名した選手は？,西村,西条,西舘,西川,００１０
4,3,田中将大が記録した、連勝記録は？,18勝,20勝,22勝,24勝,０００１
4,4,2022年村上宗隆のホームラン数は？,56本,55本,54本,53本,１０００
4,5,佐々木朗希が記録した連続無安打記録は何回？,9回,11回,15回,17回,０００１
5,1,何々の1ミリと話題になったサッカー選手は?,三笘,三坂,三島,三苫,０００１
6,1,Saucy Dogが結成されたのは何年?,2017,2016,2013,2012,００１０
6,2,映画「君の名は」で音楽を担当したバンドは？,RADWIMPS,B'z,スピッツ,KANA-BOON,１０００
6,3,ONE OK ROCKボーカル、takaの父は？,岸田文雄,森進一,王貞治,落合博満,０１００
7,1,ウルフ・オブ・ウォールストリートでヴェルフォートが詐欺のために売った株は？,ミニー株,ペニー株,ドニ―株,ソニー株,０１００
7,2,映画jokerでアーサーの同僚で小人症の名前は？,ゲイリー,トニー,ウェイン,ブラウン,１０００
7,3,チャーリーとチョコレート工場の工場長は誰？,ピーターパーカー,マイケルジャクソン,ウィリーウォンカ,チャーリー,００１０
7,4,アメリカンスナイパーの戦争は何？,イラク戦争,ベトナム戦争,アメリカ戦争,朝鮮戦争,１０００
7,5,ジョンウィックの殺されてしまった犬の名前は？,ハント,イーサン,ピットブル,デイジー,０００１
8,1,映画7つの会議で八角が所属していた部署は？,営業,総務,経理,人事,１０００
9,1,妖怪ウォッチ1のラスボスは?,イカカモネ議長,あやとり様,ゲソヒール大臣,ウバウネ,１０００
9,2,妖怪ウォッチ２のラスボスは？,カブキロイド,スベテ・ウバウネ,キン,ギン,０１００
10,1,耳かきについてるふわふわの名前は？,毛払い,ふわふわ,わた,梵天,０００１
10,2,傘の上についてるところの名前は？,天突,土突,石突,雨突,００１０
11,1,太陽系の惑星で、衛星の数が一番多いのは？,地球,土星,冥王星,木星,０１００
