author_no,title,question_count,genre_no,explanation,create_time,total_participants
1,亘クイズ,3,5,おれに関するクイズやで,2023-10-11 2:46:35,1
2,びきクイズ,1,7,,2023-01-05 11:13:04,1
3,動物クイズ,4,9,いろんな動物のクイズ,2023-12-02 0:17:53,4
4,プロ野球クイズ,5,1,プロ野球のクイズ,2023-08-01 10:49:09,5
5,サッカークイズ,1,1,サッカーのクイズ,2023-10-12 15:07:29,1
1,音楽クイズ,3,2,音楽関連のクイズ,2023-01-31 11:11:14,3
7,洋画クイズ,5,3,海外映画のクイズ,2023-05-12 7:43:36,5
8,邦画クイズ,1,3,日本映画のクイズ,2023-07-04 23:13:32,1
9,ゲームクイズ,2,4,ゲームのクイズ,2023-07-18 12:49:08,2
10,雑学クイズ,2,5,雑学のクイズ,2023-10-16 13:23:25,2
11,宇宙クイズ,3,6,宇宙のクイズ,2023-06-15 9:01:12,3
12,漫画クイズ,4,12,漫画のクイズ,2023-02-13 22:49:25,4
13,歴史クイズ,5,10,歴史のクイズ,2023-11-03 0:21:21,5
14,変わった雑学クイズ,10,5,変わった雑学クイズ,2023-09-02 5:08:34,10
15,料理クイズ,5,19,料理のクイズ,2023-04-06 20:57:40,5
16,お酒クイズ,3,15,お酒のクイズ,2023-03-22 14:32:47,3
17,なぞなぞクイズ,10,8,なぞなぞ,2023-02-18 8:13:43,10
18,地理クイズ,10,14,地理,2023-05-25 17:32:39,10
19,美術クイズ,2,16,美術,2023-08-17 13:57:57,2
20,アニメクイズ,10,20,アニメ,2023-03-01 23:49:13,10
21,海のクイズ,10,9,海に関わる,2023-08-05 10:49:39,10
22,スポーツクイズ1,5,1,スポーツに関わる,2022-11-15 8:37:22,5
23,スポーツクイズ2,5,1,スポーツに関わる,2023-04-23 17:12:45,5
24,スポーツクイズ3,5,1,スポーツに関わる,2022/09/07 11:24:58,5
25,スポーツクイズ4,5,1,スポーツに関わる,2023/02/18 6:56:31,5
26,音楽クイズ2,5,2,音楽に関わる,2022/07/29 22:09:14,5
27,音楽クイズ3,5,2,音楽に関わる,2023/06/12 14:43:27,5
28,音楽クイズ4,5,2,音楽に関わる,2022/12/03 9:18:50,5
29,映画クイズ2,5,3,映画に関わる,2023/01/27 3:31:03,5
30,映画クイズ3,5,3,映画に関わる,2022/08/19 19:54:16,5
31,映画クイズ4,5,3,映画に関わる,2023/05/31 12:26:39,5
